Variable,Estimate,SE,p,Model
(Intercept),22.6284432949,79.9654858958,0.7771939888,Number
StatusDLD,-0.6109107132,1.528814409,0.6894528548,Number
Lang_GroupBilingual,-16.4324101088,79.9618881359,0.8371791329,Number
Exp_NumberPlural,-17.2410944078,79.9664311501,0.8292963207,Number
StatusDLD:Exp_NumberPlural,-2.7116217419,1.5500777383,0.0802312903,Number
Lang_GroupBilingual:Exp_NumberPlural,14.1392126273,79.9638240553,0.8596496879,Number
