Variable,Estimate,SE,p,Model
(Intercept),6.7245879535,1.3180862523,3.365e-7,Person
StatusDLD,-1.1774506421,1.0122021792,0.244725498,Person
Lang_GroupBilingual,-1.6953314273,1.1980445305,0.1570444118,Person
Exp_PersonFirst,-4.6153251847,1.3035950564,3.994313e-4,Person
Exp_PersonSecond,-2.4791954142,1.5477380927,0.1091957646,Person
StatusDLD:Exp_PersonFirst,-0.7288293269,1.0189158272,0.4744243945,Person
StatusDLD:Exp_PersonSecond,0.2803801512,1.1585708982,0.8087761545,Person
Lang_GroupBilingual:Exp_PersonFirst,0.5489648098,1.2028171257,0.6481029194,Person
Lang_GroupBilingual:Exp_PersonSecond,-1.7472731558,1.4462612958,0.2269968639,Person
