Code,Maternal_Ed,FRPL,Origin,Concern,PQ_LANG_MOM_CH,PQ_LANG_DAD_CH,GENDER,BESA_S_CZr,BESA_S_SRr,BESA_S_s,BESA_E_CZr,BESA_E_SRr,BESA_E_s,PGU_Spanish,PGU_English,Words_Spanish,Words_English,AoA_ENG
07058,2,1,2,0,5,5,1,14,28,105,14,29,100,86.36,NA,128,NA,4
04028,2,1,1,2,3,0,2,2,2,73,12,31,100,NA,80.77,4,128,0
06066,1,1,2,2,3,0,2,5,4,62,1,3,58,23.21,3.7,87,155,4
04025,1,1,1,0,3,2,1,0,6,62,10,12,80,83.33,13.33,132,112,0
05003,1,1,1,0,5,5,1,6,16,83,9,24,90,60.87,38.1,78,54,2
04011,1,1,1,0,5,5,1,5,21,93,6,22,85,73.33,30,93,154,2
04059,1,1,5,0,3,3,2,0,2,60,1,1,62,100,27.27,59,111,2
06030,1,1,2,1,2,6,2,0,0,51,12,27,95,NA,54.17,10,99,1
07047,3,1,2,0,5,3,2,15,32,110,16,29,103,77.14,54.55,83,74,5
05007,1,2,1,2,5,5,2,0,3,60,0,5,55,73.68,28,95,66,2
05046,1,1,2,0,4,3,1,8,26,98,2,17,73,86.11,13.79,99,110,5
05020,2,1,2,0,4,5,1,4,10,73,16,30,103,63.64,90.91,55,84,2
04018,2,1,1,0,5,5,1,0,2,62,1,3,58,94.12,77.27,129,138,1
04019,2,1,1,0,5,5,2,4,1,75,1,NA,NA,NA,NA,0,NA,1
05008,1,1,1,0,4,4,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,2
05055,1,1,1,0,4,6,2,5,19,83,9,25,88,75,52.38,98,145,5
04029,0.2,0.2,0.2,0.2,NA,NA,2,2,1,70,2,0,58,73.91,46.15,126,114,NA
04062,1,1,1,0,5,3,1,4,9,78,7,17,83,78.26,42.86,75,116,2
06039,5,1,2,1,5,5,1,12,26,98,9,16,75,87.5,45.45,42,54,5
05004,2,1,1,0,5,5,1,7,12,83,16,23,98,41.67,65.85,76,67,5
04060,2,1,0,0,5,3,2,6,11,85,7,11,78,57.14,42.11,107,166,1
04016,1,1,1,0,4,6,2,1,3,70,4,10,73,30.77,25,119,70,1
06013,3,2,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
04005,2,1,1,0,3,3,2,6,7,80,7,9,75,NA,52.94,NA,63,4
04061,1,1,1,0,5,3,2,7,4,83,3,1,62,44.44,21.05,81,125,3
06032,2,1,2,1,5,5,1,5,27,85,2,5,58,70.27,28.57,108,85,6
04021,5,1,2,2,4,4,2,7,32,105,11,31,100,80,60.71,68,100,0
05036,2,1,2,1,5,5,2,7,33,103,0,0,52,90,NA,38,NA,0
06033,2,1,2,1,3,3,1,6,9,68,19,32,110,68.75,88.89,72,103,0
05048,4,2,2,2,4,5,2,6,17,85,3,3,62,NA,62.5,NA,108,0
05056,5,1,2,0,5,5,2,10,29,103,0,0,52,80,NA,97,NA,5
06038,4,2,2,0,4,5,2,8,16,83,5,12,68,55.88,54.35,105,150,0
06054,4,1,2,2,3,5,1,13,30,103,17,33,108,97.14,72.73,113,157,5
07042,2,1,2,0,5,5,2,14,30,105,0,9,52,84.62,55.56,72,84,4
03064,2,1,1,0,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
04012,1,1,1,0,4,0,1,3,3,75,2,4,65,50,20.83,105,120,2
06053,2,1,4,1,5,5,2,2,10,60,11,11,73,5.88,65.08,58,170,5
05057,1,1,1,1,5,5,2,11,32,105,0,9,58,61.9,50,84,49,5
05035,2,1,2,1,0,3,2,6,24,93,10,16,83,85.29,56,96,107,4
05051,2,1,2,0,5,5,1,8,22,95,0,0,52,83.33,NA,35,NA,5
06037,1,1,2,0,3,3,1,3,9,65,7,10,68,NA,17.65,35,74,4
04010,1,1,1,0,5,5,1,7,22,98,8,21,88,82.35,40,70,52,1
04015,1,1,1,0,3,4,2,4,2,73,2,4,65,95.83,38.89,51,119,1
06052,0,1,2,0,5,5,2,11,31,100,6,24,85,NA,31.58,NA,133,5
05049,4,1,2,1,4,3,2,11,28,103,14,26,98,66.67,58.33,80,89,4
07045,2,1,2,0,5,5,1,11,36,103,12,30,100,82.76,30.3,84,112,6
07034,4,1,2,0,5,3,1,3,19,68,23,33,115,NA,84.38,NA,84,1
06031,0,1,4,1,5,0,2,10,18,90,1,6,60,71.43,25,97,105,4
05050,4,1,2,2,0.2,0.2,1,8,16,88,17,31,105,37.5,77.27,65,90,3
06065,3,1,2,1,3.5,4,1,11,20,90,6,15,73,96.15,40.91,94,90,0
05009,1,1,1,0,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
05041,1,1,2,2,5,5,1,11,24,100,0,10,60,82.61,0,64,86,0
04017,1,1,1,0,5,5,2,3,6,78,0,2,58,37.93,0,103,96,1
04006,1,2,1,2,5,5,2,7,15,90,5,14,78,68,25,111,62,0
05044,2,1,2,0,5,5,1,14,30,113,13,26,95,50,32.14,61,92,5
06040,2,1,2,1,5,5,2,8,24,85,18,31,105,NA,80.65,80,101,5
05043,2,1,2,0,5,5,2,10,27,100,0,0,52,90.7,NA,92,NA,5
