Variable,Estimado,Error_est,p,Referencia,Juego
CA_Months_Ctd,0.087,0.02,0,ML-DT,Subjuntivo
(Intercept),-1.15,0.419,0.006,ML-TDL,Subjuntivo
GroupML-TD,2.213,0.545,0,ML-TDL,Subjuntivo
GroupBL-TD,1.392,0.48,0.004,ML-TDL,Subjuntivo
GroupBL-DLD,-1.628,0.58,0.005,ML-TDL,Subjuntivo
CA_Months_Ctd,0.087,0.02,0,ML-TDL,Subjuntivo
(Intercept),0.242,0.358,0.498,BL-DT,Subjuntivo
GroupML-TD,0.821,0.486,0.091,BL-DT,Subjuntivo
GroupML-DLD,-1.392,0.48,0.004,BL-DT,Subjuntivo
GroupBL-DLD,-3.02,0.566,0,BL-DT,Subjuntivo
CA_Months_Ctd,0.087,0.02,0,BL-DT,Subjuntivo
(Intercept),-2.778,0.505,0,BL-TDL,Subjuntivo
GroupML-TD,3.841,0.637,0,BL-TDL,Subjuntivo
GroupML-DLD,1.628,0.58,0.005,BL-TDL,Subjuntivo
GroupBL-TD,3.02,0.566,0,BL-TDL,Subjuntivo
CA_Months_Ctd,0.087,0.02,0,BL-TDL,Subjuntivo
